Episode number, Episode reward
197,-1193.402816157357
198,-1659.1886292986062
199,-2266.106267483417
200,-2234.3853674487536
201,-1251.7998027068243
202,-1557.178420905173
203,-2010.2276905945569
204,-2057.167804551786
205,-1510.3628418726776
206,-2087.8439924815684
207,-2144.807098163294
208,-2024.3445409443266
209,-1352.880464091029
210,-1574.7427205957956
211,-2012.76099732482
212,-1250.1343796567671
213,-1601.0478720605856
214,-2085.6432254633337
215,-1113.4576012397156
216,-1823.0081463854508
217,-1313.715402259562
218,-2266.517241083273
219,-2013.3063856443011
220,-1919.6227298563779
221,-1321.7354687562568
222,-2176.533301732808
223,-1273.1706797999223
224,-1690.7971888995337
225,-1329.5871892462076
226,-1089.5296417608067
227,-1482.743293717355
228,-2015.7719553045904
229,-1304.6428024086395
230,-1196.2840929919303
231,-2235.401415950771
232,-1175.8965195423154
233,-1972.721890548222
234,-2043.253726961831
235,-1903.711367052188
236,-1178.6848781168958
237,-2005.2255843037365
238,-1353.3603079849945
239,-1559.2397052568208
240,-1275.7619170061605
241,-1572.7386907560806
242,-1529.750171449788
243,-1125.1259321003265
244,-1619.3343218769764
245,-2331.0097776158154
246,-1810.4735710530522
247,-1408.4461921643629
248,-2171.1387099228646
249,-1333.8319623908767
250,-1408.0467552980467
251,-1542.9858421498263
252,-1703.5502509956782
253,-1723.3173464942518
254,-1404.1720389922302
255,-2223.6792041712692
256,-1908.189502760104
257,-2209.750833641167
258,-2247.4282019469256
259,-1260.0858874392086
260,-1185.860419821276
261,-2060.6419041090867
262,-1976.2590271213064
263,-1310.5976765517291
264,-2059.1755065049924
265,-991.6415691837049
266,-1347.5141093466382
267,-1995.6766808058935
268,-1392.952958522118
269,-1431.2624844211848
270,-1416.6301784884467
271,-2108.060063697186
272,-2264.6157932162487
273,-1230.2271068222742
274,-2112.620535482775
275,-1930.331941630881
276,-1402.7774179594664
277,-2184.5553850077686
278,-1890.042064242931
279,-1239.6010387479616
280,-1389.5155872525131
281,-1415.0227387712291
282,-1985.0820992571055
283,-1951.5927787895232
284,-1128.2497702193168
285,-1316.7440372928286
286,-1296.3625702587965
287,-1936.687031541938
288,-1229.274333509878
289,-1380.3377627897444
290,-1381.6458359871347
291,-2048.1585029940156
292,-1280.5964413707109
293,-1372.0543291905915
294,-1293.3237199569544
295,-2197.9913726600957
296,-1353.5952790176937
297,-1421.9787777572387
298,-1257.1900823920869
299,-2268.968995935601
300,-1423.2477317406258
301,-1488.6732847945152
302,-2097.1263688266013
303,-2316.5491060072995
304,-2003.2171421229912
305,-1199.9247774474727
306,-1676.761550437081
307,-1453.0927494879265
308,-1249.5741629434438
309,-2051.2379674833605
310,-1634.1259328164392
311,-1494.6251293537216
312,-2094.38591311515
313,-1868.7490127630629
314,-1876.7630411051093
315,-2037.3659635768513
316,-1959.086064438865
317,-1388.2328808534949
318,-1789.5660525669568
319,-1340.5746904678597
320,-1150.600563902376
321,-1293.584839670545
322,-1087.8807670495507
323,-1141.3738235858543
324,-979.0540674041581
325,-1103.1464881615755
326,-1006.7838067259901
327,-1386.0095374331231
328,-1592.1203480865147
329,-1832.5642529132492
330,-1185.9462619598728
331,-1650.8895146932473
332,-1312.109763570423
333,-1515.0167364445722
334,-2227.7421043001573
335,-1400.5670596193931
336,-2066.750424036926
337,-1229.9543395282533
338,-1255.6260827165947
339,-1569.2404282541586
340,-1969.898013484215
341,-1889.1763896010884
342,-1384.4087012427474
343,-1456.535276461331
344,-2094.6702120284654
345,-2175.0386518530117
346,-2593.0125176095585
347,-1149.5570872788314
348,-1397.2286016336097
349,-1247.7888095806002
350,-1192.8102649324449
351,-1504.5552001738706
352,-2134.3993918916335
353,-1262.2697142532772
354,-1792.1579146293998
355,-1348.0975338289657
356,-1443.6373510212038
357,-1345.6578382227333
358,-2249.9568328626797
359,-2322.7762940588814
360,-2249.4623483361843
361,-1719.6296410856535
362,-1990.3625940897368
363,-2081.854360852225
364,-1200.369876472643
365,-1206.252496577816
366,-2055.1730077491184
367,-1999.8122684902517
368,-1262.9445081108545
369,-1268.2549189299775
370,-1340.715651145325
371,-2036.104819367573
372,-2148.5807203855097
373,-1874.3985778734298
374,-1198.9739980771335
375,-1299.8259741392892
376,-1182.0406550055854
377,-1935.1857698370134
378,-2070.277962649877
379,-1243.846066766023
380,-1239.6094055447454
381,-1446.282851633424
382,-1417.3044607873062
383,-1326.4631484568295
384,-1261.46830883503
385,-1965.4681749809213
386,-1575.7340349030821
387,-2231.821141151988
388,-1031.1301224199278
389,-1105.0392258020634
390,-1079.3018832283442
391,-1296.6221178622848
392,-2130.4139191828212
393,-2164.764871058564
394,-1354.5225235417408
395,-1276.3029820634615
396,-1210.2961726881383
397,-1235.6641407844113
398,-2186.818799312327
399,-1298.336205051975
400,-1567.474350999661
401,-1925.975684502902
402,-1350.601062351058
403,-1353.3574128183457
404,-2027.2311506646772
405,-2049.0451477104234
406,-1356.0308251206257
407,-1181.52668953457
408,-1587.712078952534
409,-2025.0891670723458
410,-1150.6611888406158
411,-2089.7500615968584
412,-1265.1929117045827
413,-2134.874834898221
414,-1323.1378352348781
415,-1319.9439829426062
416,-2124.427483902855
417,-1092.0585414878726
418,-1416.1632176809344
419,-1530.4482571594817
420,-1345.630456684808
421,-984.3794943611625
422,-2268.7942302255897
423,-1905.7418088982542
424,-2194.1420067613553
425,-1403.6686482166822
426,-2120.3751499902423
427,-1100.7773842563
428,-1266.7949380623027
429,-2209.5754368080356
430,-1065.406608420244
431,-1119.6028786622155
432,-2218.0560640537415
433,-1432.0570357823424
434,-1506.8456621518765
435,-1581.1123616518662
436,-1361.5157145317269
437,-1369.0890405475436
438,-1942.4183074805362
439,-1236.0870367542975
440,-1295.6437209227156
441,-1430.4505149932745
442,-1163.6052079546114
443,-1171.3424246008346
444,-2251.264493882413
445,-2151.9065111409686
446,-1338.0922967590716
447,-1520.8247365644293
448,-1269.672983141531
449,-1668.294226835412
450,-1266.5512018832812
451,-1607.0019006941186
452,-1336.191405057122
453,-1365.5375097620129
454,-2013.1841739386252
455,-1683.8237423653948
456,-1250.1154379003783
457,-1278.3202828663027
458,-1883.8313303553946
459,-1266.1979397628954
460,-1153.144760548833
461,-1578.3610612381447
462,-1271.530465969742
463,-1712.022443322543
464,-1309.99932569084
465,-2169.23519339605
466,-2114.720577903763
467,-1489.0186338408855
468,-1287.4462239025158
469,-2055.274810712664
470,-1294.4235482919719
471,-2219.51333903178
472,-2029.7122594129628
473,-1969.065771066851
474,-1242.2090784824197
475,-1432.284827910723
476,-1170.8381319338503
477,-1396.752529935919
478,-2002.7432968368355
479,-1171.0984351474938
480,-1313.9517900535855
