Episode number, Episode reward
51,234.19396046970868
52,249.95028510249367
53,217.98580912054447
54,194.65477106808208
55,233.92751167274056
56,254.09936948147347
57,236.99232083952202
58,216.16490377131376
59,226.42914639738925
60,271.9166245726092
61,243.93042365240905
62,235.99277897604358
63,279.72263893311833
64,236.69650792502108
65,289.5458018831373
66,126.74014859570973
67,222.7752413329131
68,294.605529473321
69,279.52028114877385
70,297.5815933476358
71,162.69305521611273
72,257.6949062077472
73,281.05398613619315
74,182.79827853066612
75,308.8612013194089
76,306.98372085328293
77,267.76821946847326
78,283.64481165981243
79,326.84528418406114
80,254.99575348775315
81,275.0300782455455
82,312.9617328925795
83,159.39703849611834
84,278.55351991092675
85,265.9450174496785
86,240.14449542369027
87,298.84047455662136
88,313.1350060433417
89,240.39463511815327
90,192.26630400996387
91,312.7532958441489
92,313.71569260964975
93,298.98965239281483
94,315.81867441152554
95,320.37700182498145
96,327.0095289136127
97,215.2720348284915
98,315.99834580697984
99,313.42618538621804
100,215.49610067526731
101,300.5953829832156
102,231.54058261180882
103,342.8163604130266
104,183.10570612406045
105,255.21759782553627
106,139.0311785314819
107,324.48016690168964
108,332.0908592742716
109,201.51100320471087
110,319.7591965111842
111,328.43217633564416
112,199.75797281648863
113,298.4106418110272
114,351.3049858102235
115,316.8994880763281
116,319.71782601705223
117,276.95883276032276
118,233.34247433314235
119,201.04645759929386
120,60.801612891300756
121,327.8731584786496
122,335.94241916012027
123,219.69399661381595
124,262.71270380286035
125,308.3554132366577
126,284.6712146600819
127,212.81375347995956
128,351.669658433627
129,354.0835665147688
130,146.10175987836155
131,249.04286682711154
132,268.3977099576452
133,250.41655595676536
134,339.94731434228584
135,238.0244534968399
136,339.5338851486015
137,179.69820160034817
138,354.35563464595714
139,358.17865602719843
140,333.05704864161095
141,342.14991671215137
142,356.26715053471867
143,200.42982628812257
144,346.14484285381224
145,363.7798688923799
146,327.0478111576005
147,278.46136336390646
148,343.40782470450745
149,319.0259474524225
150,258.4984521016173
151,336.68056488781923
152,345.54734870702475
153,332.28656971020956
154,356.37694435414886
155,371.55509291310625
156,220.42721307094394
157,245.97780923269957
158,349.4395906207779
159,338.17161015097935
160,358.12891975331297
161,362.61851823209633
162,349.8719798930455
163,236.87159992503763
164,228.25783577004165
165,212.22275878793667
166,360.8794489643057
167,356.39633619367845
168,351.4117227269734
169,321.1194590720176
170,238.57944345270158
171,347.95634526828496
172,364.0753576860764
173,327.8530909452102
174,341.7295758970359
175,337.80205644267505
176,343.36816736581864
177,355.1354877365937
178,313.94314251455614
179,377.91672148007444
180,107.75490567624026
181,309.27506385725314
182,208.51266222077075
183,334.00637227183284
184,353.6749488212342
185,360.53850043521504
186,314.406921500743
187,215.02422455165527
188,122.26856972460638
189,359.8889270401587
190,363.0581122947019
191,297.5631379161877
192,302.88156935961007
193,283.7531337841326
194,356.3386397738146
195,201.81682624737746
196,346.1756091894224
197,334.9371150935279
198,359.49958559194215
199,360.5132482865459
200,344.2697660322248
201,344.6728962397096
202,243.10320976135523
203,365.4091431505314
204,224.5637308573204
205,361.0429502099837
206,384.7234728417823
207,343.6066080168036
208,285.78747365684984
209,279.97365986209843
210,918.3168192618701
211,242.3465614993332
212,118.69265890027353
213,326.68665281913064
214,321.33695521486055
215,309.8867476023906
216,326.1769809503971
217,317.88574662115764
218,246.33347218086533
219,310.87652478041906
220,335.9814282522774
221,163.28023115542626
222,372.66824769821073
223,161.96829915424678
224,312.2281633719909
225,115.95595857393715
226,353.77024743410584
227,353.35879662778547
228,222.98909263603719
229,318.25077980336255
230,328.82229532076593
231,327.0400746153466
232,347.18418469239356
233,357.9228272384551
234,348.46849276385603
235,354.789032652344
236,158.23272174687435
237,345.0452060999684
238,313.6001910656874
239,368.4948640777176
240,311.9831976427856
241,337.5957820252657
242,241.1167845071128
243,352.4957600642924
244,295.74363632136004
245,282.045768882977
246,839.1154070794897
247,224.10855458700388
248,380.9294079611372
249,364.44043323877776
250,342.6556138040803
251,267.52933437840187
252,314.69885482235077
253,350.86548683595186
254,230.01320905100363
255,310.30502075975926
256,300.48438200892025
257,285.9827827072433
258,203.64797126975313
259,356.07281049445356
260,335.1472823097644
261,272.40558106697193
262,350.8219127766846
263,259.34315977275315
264,252.6242035771383
265,308.30772859302294
266,353.99872920621584
267,343.142299897919
268,127.63077040807535
269,322.7298927272573
270,346.68886349159993
271,206.1522050352201
272,352.06047350525677
273,212.23479892147236
274,362.1639565898392
275,287.16791022717814
276,257.029389217937
277,262.1267873056886
278,283.1730924655703
279,329.3186829698354
280,319.0579955370881
281,272.28927825140164
282,269.75698571512953
283,363.1036898110266
284,359.16074364982353
285,333.7709970604296
286,247.22488139667965
287,319.78631961554623
288,241.10170433890337
289,356.10192644459516
290,162.887353063453
291,238.09147460111856
292,328.64206614956703
293,335.96473025772997
294,324.3751743468159
295,807.6239926086639
296,234.99332698573886
297,346.0370309699061
298,326.0995699987193
299,160.71584796168858
300,336.67111510632924
301,310.59535224723663
302,301.0306597907964
303,331.01356658851313
304,363.2863901530872
305,346.91814121700037
