Episode number, Episode reward
51,22.11405060274329
52,58.134508791410134
53,21.92816809156391
54,36.386422439105395
55,69.1334366658648
56,22.43701495362033
57,31.286169487981283
58,24.92408396571789
59,12.718055389226095
60,50.46514917705832
61,86.82469259779059
62,38.18107350004506
63,60.167269500421575
64,29.12976903377292
65,53.49712246026863
66,53.827812772625634
67,78.64891218601535
68,77.02518326910331
69,78.25048711894287
70,70.63660081012456
71,56.85268648081492
72,89.05317062612404
73,79.47522657012323
74,84.27244016799985
75,83.27596426858183
76,36.34203989782256
77,88.34447386169717
78,83.81262111412826
79,96.23405931147931
80,50.94313608908053
81,124.42171226097615
82,103.28917621509932
83,101.44872738413389
84,117.53397497366119
85,46.58828914662631
86,122.92352072228593
87,118.56972011046622
88,122.68204304424111
89,115.36199458357801
90,111.95982677848848
91,124.12353204961839
92,106.24851296789286
93,82.02596315404195
94,149.26500687242648
95,108.94975823206869
96,86.66520474785821
97,123.14390314308153
98,155.72942171112044
99,141.15145467991454
100,114.64757776107317
101,67.1875513419956
102,116.46096864698836
103,102.23104270649728
104,94.99031313681593
105,130.94907385806357
106,65.07568744997582
107,138.68573710022338
108,146.997887134183
109,133.8954160941753
110,181.24789349175148
111,141.92272326615455
112,149.6491344236365
113,150.79412541705386
114,142.12918909960493
115,176.9499205685805
116,80.42929790962974
117,148.48222715456117
118,144.59462558328286
119,141.73407990314698
120,179.86048013091911
121,93.84361739465251
122,175.127657384912
123,154.80713004776317
124,187.12765981834133
125,185.42417699042835
126,157.5473526310193
127,113.65803504358722
128,215.06951600773763
129,143.71025400493627
130,223.20817358830922
131,214.12860925210347
132,213.9365533250397
133,212.3417499730542
134,217.09272308272085
135,139.45020033868354
136,96.39187095412568
137,219.94822337418998
138,219.02723886924642
139,158.33196772667173
140,132.11569306092778
141,220.59015786289652
142,232.07858994289268
143,224.18318051873854
144,215.65269683638402
145,230.27639440991865
146,180.87739771794028
147,180.82975124668533
148,231.97906689571278
149,170.1283519044501
150,159.55621030795686
151,206.22182317531826
152,122.74905573272594
153,235.16254798564412
154,192.24768749836252
155,219.49738536771807
156,227.74126742616932
157,223.24725613396265
158,196.44789657346575
159,229.69898567775772
160,233.54439489619907
161,127.71349265147359
162,221.2213869449099
163,227.78686033016396
164,183.10451773487947
165,171.3158469851472
166,112.47722586002403
167,218.98358347385502
168,219.62783444263454
169,234.23877732678696
170,210.30694083646202
171,231.9885700609253
172,234.85141418214963
173,156.55798678848976
174,226.23848848157445
175,192.03908377083644
176,190.41720645038333
177,220.13458664165248
178,151.5288387905658
179,222.80524638228698
180,236.99078490303145
181,139.49525648619593
182,93.82188170515055
183,225.0556589708296
184,144.23819862904168
185,213.6902320671938
186,223.732426318954
187,229.89498108947035
188,155.46737065953428
189,227.1056665612695
190,195.59747011049043
191,167.6035067444022
192,178.91579518052993
193,211.54651117754005
194,222.70224722187874
195,217.8449970617525
196,232.15878150441628
197,222.20888300096348
198,232.11854952180502
199,228.3943354179861
200,231.74814520186487
201,162.40314901575942
202,222.75642002065817
203,184.04853889449527
204,234.11520206161913
205,234.04781084020402
206,234.5706799314703
207,164.99356717260852
208,238.8666275056752
209,237.65182106626926
210,217.62855178886815
211,231.8717197193512
212,147.72050313758473
213,233.49350493268403
214,136.85790497942503
215,191.39314252586496
216,230.54971760024915
217,221.75344146433736
218,156.72515203355687
219,223.92358358688787
220,182.3300622117543
221,231.86667037257362
222,188.60726304443983
223,230.35375580910798
224,237.00174651749742
225,234.05519825604551
226,229.86158782880344
227,157.3919672871292
228,183.3827648318515
229,174.34277630329893
230,229.9927220075287
231,216.62812703842735
232,206.2740171882618
233,244.57761888825868
